run_order,sequence_order,sequence,system,attempt_kind,primary_run_id,first_system,seed_sort_sha256,status
15,8,circle/circle.bag,S1,SCORED,g05-circle-s1-r01,S1,98e0a372bd8aa22913fb8bdb4c6a52a5b3db56c3e2c8b671a4f503f2519c155b,PENDING
16,8,circle/circle.bag,U0,SCORED,g05-circle-u0-r01,S1,98e0a372bd8aa22913fb8bdb4c6a52a5b3db56c3e2c8b671a4f503f2519c155b,PENDING
17,9,rotation/rotation_fast.bag,U0,SCORED,g05-rotation_fast-u0-r01,U0,a4f32c7583ec3cb3723df11a9825bb0a94274527a4cb576b66ea4068a2a5493c,PENDING
18,9,rotation/rotation_fast.bag,S1,SCORED,g05-rotation_fast-s1-r01,U0,a4f32c7583ec3cb3723df11a9825bb0a94274527a4cb576b66ea4068a2a5493c,PENDING
19,10,circle/circle_fast.bag,S1,SCORED,g05-circle_fast-s1-r01,S1,d0050bd6e2988081d8ccde591ffeb94ff1b35ec7a1afef69f8ad1b97fe1d9f31,PENDING
20,10,circle/circle_fast.bag,U0,SCORED,g05-circle_fast-u0-r01,S1,d0050bd6e2988081d8ccde591ffeb94ff1b35ec7a1afef69f8ad1b97fe1d9f31,PENDING
21,11,infinite/infinite_head.bag,U0,SCORED,g05-infinite_head-u0-r01,U0,e5aeda7b0bc138dbdc5e485a1c36e583929d982bf6ad600ab80f7a85eada1ee7,PENDING
22,11,infinite/infinite_head.bag,S1,SCORED,g05-infinite_head-s1-r01,U0,e5aeda7b0bc138dbdc5e485a1c36e583929d982bf6ad600ab80f7a85eada1ee7,PENDING
23,1,infinite/infinite_fast.bag,U0,CAPTURE,g05-infinite_fast-u0-r01,U0,21cebf3633d8273f2b150646e5f617ad0c0debb29c4cfbc779adb487d165d89d,PENDING
24,1,infinite/infinite_fast.bag,S1,CAPTURE,g05-infinite_fast-s1-r01,U0,21cebf3633d8273f2b150646e5f617ad0c0debb29c4cfbc779adb487d165d89d,PENDING
25,2,square/square_fast.bag,S1,CAPTURE,g05-square_fast-s1-r01,S1,2215fbf4c8085c284e312e8777245cf772afce2581f3c5f5aba327eb100bcd44,PENDING
26,2,square/square_fast.bag,U0,CAPTURE,g05-square_fast-u0-r01,S1,2215fbf4c8085c284e312e8777245cf772afce2581f3c5f5aba327eb100bcd44,PENDING
27,3,square/square.bag,U0,CAPTURE,g05-square-u0-r01,U0,2f863f8065909d017de817874350f5f7fa7500af1e00a6f2322108a1b90c202c,PENDING
28,3,square/square.bag,S1,CAPTURE,g05-square-s1-r01,U0,2f863f8065909d017de817874350f5f7fa7500af1e00a6f2322108a1b90c202c,PENDING
29,4,circle/circle_head.bag,S1,CAPTURE,g05-circle_head-s1-r01,S1,511b473daa9dd1a0045071ed6f1ecadc38060a940469c270c5c04e51dcdd4cfa,PENDING
30,4,circle/circle_head.bag,U0,CAPTURE,g05-circle_head-u0-r01,S1,511b473daa9dd1a0045071ed6f1ecadc38060a940469c270c5c04e51dcdd4cfa,PENDING
31,5,rotation/rotation.bag,U0,CAPTURE,g05-rotation-u0-r01,U0,589cda5de9db6adc69eb2f2f53aa04db6ad5b5f8d72e94da17b167177076070d,PENDING
32,5,rotation/rotation.bag,S1,CAPTURE,g05-rotation-s1-r01,U0,589cda5de9db6adc69eb2f2f53aa04db6ad5b5f8d72e94da17b167177076070d,PENDING
33,6,infinite/infinite.bag,S1,CAPTURE,g05-infinite-s1-r01,S1,741211281633f1a6a2f8ea42d4407639e69b7a72496312fbfc2a5eb4ab5afabb,PENDING
34,6,infinite/infinite.bag,U0,CAPTURE,g05-infinite-u0-r01,S1,741211281633f1a6a2f8ea42d4407639e69b7a72496312fbfc2a5eb4ab5afabb,PENDING
35,7,square/square_head.bag,U0,CAPTURE,g05-square_head-u0-r01,U0,776a9dc98acd445b0669adfb095b4a37307f75648835b8144b50f676bd71e72f,PENDING
36,7,square/square_head.bag,S1,CAPTURE,g05-square_head-s1-r01,U0,776a9dc98acd445b0669adfb095b4a37307f75648835b8144b50f676bd71e72f,PENDING
37,8,circle/circle.bag,S1,CAPTURE,g05-circle-s1-r01,S1,98e0a372bd8aa22913fb8bdb4c6a52a5b3db56c3e2c8b671a4f503f2519c155b,PENDING
38,8,circle/circle.bag,U0,CAPTURE,g05-circle-u0-r01,S1,98e0a372bd8aa22913fb8bdb4c6a52a5b3db56c3e2c8b671a4f503f2519c155b,PENDING
39,9,rotation/rotation_fast.bag,U0,CAPTURE,g05-rotation_fast-u0-r01,U0,a4f32c7583ec3cb3723df11a9825bb0a94274527a4cb576b66ea4068a2a5493c,PENDING
40,9,rotation/rotation_fast.bag,S1,CAPTURE,g05-rotation_fast-s1-r01,U0,a4f32c7583ec3cb3723df11a9825bb0a94274527a4cb576b66ea4068a2a5493c,PENDING
41,10,circle/circle_fast.bag,S1,CAPTURE,g05-circle_fast-s1-r01,S1,d0050bd6e2988081d8ccde591ffeb94ff1b35ec7a1afef69f8ad1b97fe1d9f31,PENDING
42,10,circle/circle_fast.bag,U0,CAPTURE,g05-circle_fast-u0-r01,S1,d0050bd6e2988081d8ccde591ffeb94ff1b35ec7a1afef69f8ad1b97fe1d9f31,PENDING
43,11,infinite/infinite_head.bag,U0,CAPTURE,g05-infinite_head-u0-r01,U0,e5aeda7b0bc138dbdc5e485a1c36e583929d982bf6ad600ab80f7a85eada1ee7,PENDING
44,11,infinite/infinite_head.bag,S1,CAPTURE,g05-infinite_head-s1-r01,U0,e5aeda7b0bc138dbdc5e485a1c36e583929d982bf6ad600ab80f7a85eada1ee7,PENDING
