[rosmaster.main][INFO] 2026-07-22 16:37:35,052: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-22 16:37:35,052: Starting ROS Master Node
[rosmaster.master][INFO] 2026-07-22 16:37:35,137: +SERVICE [/cp0_vio/get_loggers] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,137: +SERVICE [/cp0_vio/set_logger_level] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,150: +PUB [/tf] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,152: publisherUpdate[/rosout] -> http://127.0.0.1:45923/ ['http://127.0.0.1:38569/']
[rosmaster.master][INFO] 2026-07-22 16:37:35,153: publisherUpdate[/rosout] -> http://127.0.0.1:45923/ ['http://127.0.0.1:38569/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-07-22 16:37:35,154: +PUB [/cp0_vio/poseimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,155: +PUB [/cp0_vio/odomimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,155: +PUB [/cp0_vio/pathimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,155: +PUB [/cp0_vio/points_msckf] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,155: +PUB [/cp0_vio/points_slam] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,155: +PUB [/cp0_vio/points_aruco] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,156: +PUB [/cp0_vio/points_sim] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,156: +PUB [/cp0_vio/trackhist/compressedDepth] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,156: +SERVICE [/cp0_vio/trackhist/compressedDepth/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PUB [/cp0_vio/trackhist/compressedDepth/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PUB [/cp0_vio/trackhist/compressedDepth/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,157: +PARAM [/cp0_vio/trackhist/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,158: +PUB [/cp0_vio/trackhist/compressed] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,158: +SERVICE [/cp0_vio/trackhist/compressed/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,158: +PUB [/cp0_vio/trackhist/compressed/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,158: +PUB [/cp0_vio/trackhist/compressed/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,159: +PARAM [/cp0_vio/trackhist/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,160: +PARAM [/cp0_vio/trackhist/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,160: +PARAM [/cp0_vio/trackhist/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,160: +PARAM [/cp0_vio/trackhist/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,160: +PUB [/cp0_vio/trackhist] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,161: +PUB [/cp0_vio/trackhist/theora] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,162: +SERVICE [/cp0_vio/trackhist/theora/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,162: +PUB [/cp0_vio/trackhist/theora/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,162: +PUB [/cp0_vio/trackhist/theora/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,162: +PARAM [/cp0_vio/trackhist/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,162: +PARAM [/cp0_vio/trackhist/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PARAM [/cp0_vio/trackhist/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/posegt] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/pathgt] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/loop_pose] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/loop_feats] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/loop_extrinsic] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,163: +PUB [/cp0_vio/loop_intrinsics] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PUB [/cp0_vio/loop_depth/compressedDepth] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +SERVICE [/cp0_vio/loop_depth/compressedDepth/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PUB [/cp0_vio/loop_depth/compressedDepth/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PUB [/cp0_vio/loop_depth/compressedDepth/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,164: +PARAM [/cp0_vio/loop_depth/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PARAM [/cp0_vio/loop_depth/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PARAM [/cp0_vio/loop_depth/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PUB [/cp0_vio/loop_depth/compressed] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +SERVICE [/cp0_vio/loop_depth/compressed/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PUB [/cp0_vio/loop_depth/compressed/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PUB [/cp0_vio/loop_depth/compressed/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PARAM [/cp0_vio/loop_depth/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,165: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PARAM [/cp0_vio/loop_depth/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PUB [/cp0_vio/loop_depth] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PUB [/cp0_vio/loop_depth/theora] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +SERVICE [/cp0_vio/loop_depth/theora/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,166: +PUB [/cp0_vio/loop_depth/theora/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PUB [/cp0_vio/loop_depth/theora/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,167: +PARAM [/cp0_vio/loop_depth/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PUB [/cp0_vio/loop_depth_colored/compressedDepth] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +SERVICE [/cp0_vio/loop_depth_colored/compressedDepth/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PUB [/cp0_vio/loop_depth_colored/compressedDepth/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PUB [/cp0_vio/loop_depth_colored/compressedDepth/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,168: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/depth_max] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/depth_quantization] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PARAM [/cp0_vio/loop_depth_colored/compressedDepth/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PUB [/cp0_vio/loop_depth_colored/compressed] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +SERVICE [/cp0_vio/loop_depth_colored/compressed/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PUB [/cp0_vio/loop_depth_colored/compressed/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,169: +PUB [/cp0_vio/loop_depth_colored/compressed/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/format] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_progressive] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_optimize] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,170: +PARAM [/cp0_vio/loop_depth_colored/compressed/jpeg_restart_interval] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PARAM [/cp0_vio/loop_depth_colored/compressed/png_level] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PUB [/cp0_vio/loop_depth_colored] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PUB [/cp0_vio/loop_depth_colored/theora] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +SERVICE [/cp0_vio/loop_depth_colored/theora/set_parameters] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PUB [/cp0_vio/loop_depth_colored/theora/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PUB [/cp0_vio/loop_depth_colored/theora/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PARAM [/cp0_vio/loop_depth_colored/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PARAM [/cp0_vio/loop_depth_colored/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,171: +PARAM [/cp0_vio/loop_depth_colored/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,172: +PARAM [/cp0_vio/loop_depth_colored/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,172: +PARAM [/cp0_vio/loop_depth_colored/theora/optimize_for] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,172: +PARAM [/cp0_vio/loop_depth_colored/theora/target_bitrate] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,172: +PARAM [/cp0_vio/loop_depth_colored/theora/quality] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:35,172: +PARAM [/cp0_vio/loop_depth_colored/theora/keyframe_frequency] by /cp0_vio
[rosmaster.master][INFO] 2026-07-22 16:37:52,273: -PUB [/rosout] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,274: -PUB [/tf] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,274: -PUB [/cp0_vio/poseimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,274: -PUB [/cp0_vio/odomimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/pathimu] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/points_msckf] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/points_slam] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/points_aruco] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/points_sim] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,275: -PUB [/cp0_vio/trackhist/compressedDepth] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/compressedDepth/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/compressedDepth/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/compressed] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/compressed/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/compressed/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,276: -PUB [/cp0_vio/trackhist/theora] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/trackhist/theora/parameter_descriptions] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/trackhist/theora/parameter_updates] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/posegt] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/pathgt] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/loop_pose] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/loop_feats] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/loop_extrinsic] /cp0_vio http://127.0.0.1:38569/
[rosmaster.master][INFO] 2026-07-22 16:37:52,277: -PUB [/cp0_vio/loop_intrinsics] /cp0_vio http://127.0.0.1:38569/
